"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"68",68,68,2017,"2017-06-17","boxscore","BOS","@","HOU","L",1,7,NA,"38-30",2,"1","Paulino","Porcello","","2:34","N",41017,"-",NA,"USW00014739","BOSTON, MA US",0.02,0,NA,61,69,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,69,2017,"2017-06-18","boxscore","BOS","@","HOU","W",6,5,NA,"39-30",1,"Tied","Price","Musgrove","Kimbrel","4:08","N",38389,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,72,84,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,70,2017,"2017-06-19","boxscore","BOS","@","KCR","L",2,4,NA,"39-31",2,"0.5","Hammel","Boyer","Herrera","3:11","N",27992,"-",NA,"USW00014739","BOSTON, MA US",0.03,0,NA,75,85,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,71,2017,"2017-06-20","boxscore","BOS","@","KCR","W",8,3,NA,"40-31",1,"up 0.5","Sale","Strahm","","2:54","N",25983,"+",NA,"USW00014739","BOSTON, MA US",0.13,0,NA,76,86,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,72,2017,"2017-06-21","boxscore","BOS","@","KCR","L",4,6,NA,"40-32",2,"0.5","Soria","Scott","Herrera","3:07","D",30826,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,76,84,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,73,2017,"2017-06-23","boxscore","BOS","","LAA","W",9,4,NA,"41-32",1,"Tied","Porcello","Meyer","","3:07","N",37034,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,76,90,65,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,74,2017,"2017-06-24","boxscore","BOS","","LAA","L",3,6,NA,"41-33",1,"Tied","Ramirez","Price","Parker","3:34","N",36868,"-",NA,"USW00014739","BOSTON, MA US",0.08,0,NA,76,88,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,75,2017,"2017-06-25","boxscore","BOS","","LAA","L",2,4,NA,"41-34",1,"Tied","Bridwell","Fister","Petit","2:50","D",36474,"--",NA,"USW00014739","BOSTON, MA US",0,0,NA,77,85,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,76,2017,"2017-06-26","boxscore","BOS","","MIN","W",4,1,NA,"42-34",1,"Tied","Sale","Berrios","Kimbrel","2:55","N",37172,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,71,80,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,77,2017,"2017-06-27","boxscore","BOS","","MIN","W",9,2,NA,"43-34",1,"up 1.0","Pomeranz","Santiago","","3:18","N",36804,"++",NA,"USW00014739","BOSTON, MA US",0.08,0,NA,68,77,58,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,78,2017,"2017-06-28","boxscore","BOS","","MIN","L",1,4,NA,"43-35",1,"Tied","Mejia","Porcello","Kintzler","3:14","N",37487,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,67,79,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,79,2017,"2017-06-29","boxscore","BOS","","MIN","W",6,3,NA,"44-35",1,"up 1.0","Price","Gibson","Kimbrel","3:24","N",37445,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,71,79,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,80,2017,"2017-06-30","boxscore","BOS","@","TOR","W",7,4,11,"45-35",1,"up 1.0","Boyer","Loup","Kimbrel","4:44","N",41357,"++",NA,"USW00014739","BOSTON, MA US",0.07,0,NA,74,84,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
