"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"880",70,2012,2012-06-19,"boxscore","BOS","@","KCR","L",2,4,NA,"39-31",2,"0.5","Hammel","Boyer","Herrera","3:11","N","27992","-",NA
"881",71,2012,2012-06-20,"boxscore","BOS","@","KCR","W",8,3,NA,"40-31",1,"up 0.5","Sale","Strahm","","2:54","N","25983","+",NA
"882",72,2012,2012-06-21,"boxscore","BOS","@","KCR","L",4,6,NA,"40-32",2,"0.5","Soria","Scott","Herrera","3:07","D","30826","-",NA
"883",73,2012,2012-06-23,"boxscore","BOS","","LAA","W",9,4,NA,"41-32",1,"Tied","Porcello","Meyer","","3:07","N","37034","+",NA
"884",74,2012,2012-06-24,"boxscore","BOS","","LAA","L",3,6,NA,"41-33",1,"Tied","Ramirez","Price","Parker","3:34","N","36868","-",NA
"885",75,2012,2012-06-25,"boxscore","BOS","","LAA","L",2,4,NA,"41-34",1,"Tied","Bridwell","Fister","Petit","2:50","D","36474","--",NA
"886",76,2012,2012-06-26,"boxscore","BOS","","MIN","W",4,1,NA,"42-34",1,"Tied","Sale","Berrios","Kimbrel","2:55","N","37172","+",NA
"887",77,2012,2012-06-27,"boxscore","BOS","","MIN","W",9,2,NA,"43-34",1,"up 1.0","Pomeranz","Santiago","","3:18","N","36804","++",NA
"888",78,2012,2012-06-28,"boxscore","BOS","","MIN","L",1,4,NA,"43-35",1,"Tied","Mejia","Porcello","Kintzler","3:14","N","37487","-",NA
"889",79,2012,2012-06-29,"boxscore","BOS","","MIN","W",6,3,NA,"44-35",1,"up 1.0","Price","Gibson","Kimbrel","3:24","N","37445","+",NA
"890",80,2012,2012-06-30,"boxscore","BOS","@","TOR","W",7,4,11,"45-35",1,"up 1.0","Boyer","Loup","Kimbrel","4:44","N","41357","++",NA
"891",81,2012,2012-07-01,"boxscore","BOS","@","TOR","W",7,1,NA,"46-35",1,"up 2.0","Sale","Liriano","","2:54","D","46672","+++",NA
"892",82,2012,2012-07-02,"boxscore","BOS","@","TOR","W",15,1,NA,"47-35",1,"up 3.0","Pomeranz","Biagini","Abad","3:34","D","46696","++++",NA
"893",83,2012,2012-07-03,"boxscore","BOS","@","TEX","W",7,5,11,"48-35",1,"up 3.0","Hembree","Frieri","","4:07","N","45448","+++++",NA
"894",84,2012,2012-07-04,"boxscore","BOS","@","TEX","W",11,4,NA,"49-35",1,"up 4.0","Price","Darvish","","3:56","N","43267","++++++",NA
"895",85,2012,2012-07-05,"boxscore","BOS","@","TEX","L",2,8,NA,"49-36",1,"up 4.0","Cashner","Fister","","2:52","N","32276","-",NA
"896",86,2012,2012-07-06,"boxscore","BOS","@","TBR","L",1,4,NA,"49-37",1,"up 3.5","Faria","Sale","Colome","2:43","N","23375","--",NA
"897",87,2012,2012-07-07,"boxscore","BOS","@","TBR","W",8,3,NA,"50-37",1,"up 4.5","Pomeranz","Odorizzi","","3:24","N","24842","+",NA
"898",88,2012,2012-07-08,"boxscore","BOS","@","TBR","L",0,1,NA,"50-38",1,"up 3.5","Cobb","Porcello","Colome","2:41","D","23419","-",NA
"899",89,2012,2012-07-09,"boxscore","BOS","@","TBR","L",3,5,NA,"50-39",1,"up 3.5","Boxberger","Kelly","Colome","3:07","D","20812","--",NA
"900",90,2012,2012-07-14,"boxscore","BOS","","NYY","W-wo",5,4,NA,"51-39",1,"up 3.5","Scott","Chapman","","3:27","N","37570","+",NA
"901",91,2012,2012-07-15,"boxscore","BOS","","NYY","L",1,4,16,"51-40",1,"up 2.5","Heller","Fister","","5:50","D","36936","-",NA
"902",92,2012,2012-07-16,"boxscore","BOS","","NYY","L",0,3,NA,"51-41",1,"up 3.0","Sabathia","Porcello","Chapman","3:13","D","37343","--",NA
"903",93,2012,2012-07-16,"boxscore","BOS","","NYY","W",3,0,NA,"52-41",1,"up 3.0","Price","Tanaka","Kimbrel","2:59","N","36719","+",NA
"904",94,2012,2012-07-17,"boxscore","BOS","","TOR","L",3,4,NA,"52-42",1,"up 2.0","Tepera","Hembree","Osuna","3:18","N","36144","-",NA
"905",95,2012,2012-07-18,"boxscore","BOS","","TOR","W-wo",5,4,15,"53-42",1,"up 2.0","Velazquez","Bolsinger","","4:59","N","36488","+",NA
"906",96,2012,2012-07-19,"boxscore","BOS","","TOR","W",5,1,NA,"54-42",1,"up 3.0","Pomeranz","Sanchez","","2:47","N","37360","++",NA
"907",97,2012,2012-07-20,"boxscore","BOS","","TOR","L",6,8,NA,"54-43",1,"up 2.5","Leone","Fister","Osuna","3:25","D","37094","-",NA
"908",98,2012,2012-07-21,"boxscore","BOS","@","LAA","W",6,2,NA,"55-43",1,"up 3.5","Sale","Nolasco","","3:05","N","37714","+",NA
"909",99,2012,2012-07-22,"boxscore","BOS","@","LAA","L",3,7,NA,"55-44",1,"up 3.5","Ramirez","Price","","3:07","N","43829","-",NA
"910",100,2012,2012-07-23,"boxscore","BOS","@","LAA","L",2,3,NA,"55-45",1,"up 2.5","Bridwell","Porcello","Norris","2:13","D","40471","--",NA
"911",101,2012,2012-07-24,"boxscore","BOS","@","SEA","L",0,4,NA,"55-46",1,"up 2.0","Paxton","Rodriguez","","2:40","N","29262","---",NA
"912",102,2012,2012-07-25,"boxscore","BOS","@","SEA","L-wo",5,6,13,"55-47",1,"up 1.0","Zych","Fister","","4:59","N","28992","----",NA
"913",103,2012,2012-07-26,"boxscore","BOS","@","SEA","W",4,0,NA,"56-47",1,"up 1.0","Sale","Moore","Kimbrel","2:53","D","39797","+",NA
"914",104,2012,2012-07-28,"boxscore","BOS","","KCR","L",2,4,NA,"56-48",2,"0.5","Vargas","Porcello","Herrera","2:44","N","37321","-",NA
"915",105,2012,2012-07-29,"boxscore","BOS","","KCR","W-wo",9,8,10,"57-48",2,"0.5","Barnes","Minor","","4:45","N","36912","+",NA
"916",106,2012,2012-07-30,"boxscore","BOS","","KCR","L",3,5,NA,"57-49",2,"0.5","Hammel","Barnes","Herrera","3:13","D","36480","-",NA
"917",107,2012,2012-07-31,"boxscore","BOS","","CLE","W",6,2,NA,"58-49",2,"0.5","Fister","Clevinger","","2:47","N","37169","+",NA
"918",108,2012,2012-08-01,"boxscore","BOS","","CLE","W-wo",12,10,NA,"59-49",1,"up 0.5","Kimbrel","Allen","","3:36","N","37126","++",NA
"919",109,2012,2012-08-03,"boxscore","BOS","","CHW","W",9,5,NA,"60-49",1,"up 2.0","Porcello","Gonzalez","","3:26","N","37442","+++",NA
"920",110,2012,2012-08-04,"boxscore","BOS","","CHW","W-wo",3,2,11,"61-49",1,"up 3.0","Hembree","Bummer","","3:43","N","36612","++++",NA
"921",111,2012,2012-08-05,"boxscore","BOS","","CHW","W",4,1,NA,"62-49",1,"up 3.0","Pomeranz","Shields","Kimbrel","2:41","N","36599","+++++",NA
"922",112,2012,2012-08-06,"boxscore","BOS","","CHW","W",6,3,NA,"63-49",1,"up 3.0","Fister","Pelfrey","Kimbrel","2:36","D","37283","++++++",NA
"923",113,2012,2012-08-08,"boxscore","BOS","@","TBR","W",2,0,NA,"64-49",1,"up 4.0","Sale","Pruitt","Kimbrel","2:52","N","22328","+++++++",NA
"924",114,2012,2012-08-09,"boxscore","BOS","@","TBR","W",8,2,NA,"65-49",1,"up 4.0","Porcello","Odorizzi","","2:59","N","11853","++++++++",NA
"925",115,2012,2012-08-11,"boxscore","BOS","@","NYY","L",4,5,NA,"65-50",1,"up 3.5","Warren","Reed","Chapman","3:40","N","46509","-",NA
"926",116,2012,2012-08-12,"boxscore","BOS","@","NYY","W",10,5,NA,"66-50",1,"up 4.5","Pomeranz","Severino","","3:13","D","47241","+",NA
"927",117,2012,2012-08-13,"boxscore","BOS","@","NYY","W",3,2,10,"67-50",1,"up 5.5","Kimbrel","Chapman","","3:40","N","46610","++",NA
"928",118,2012,2012-08-14,"boxscore","BOS","","CLE","L",3,7,NA,"67-51",1,"up 4.5","Bauer","Fister","","3:14","N","37430","-",NA
"929",119,2012,2012-08-15,"boxscore","BOS","","STL","W",10,4,NA,"68-51",1,"up 4.5","Porcello","Leake","","2:52","N","37345","+",NA
"930",120,2012,2012-08-16,"boxscore","BOS","","STL","W-wo",5,4,NA,"69-51",1,"up 4.5","Kimbrel","Duke","","3:35","N","37181","++",NA
"931",121,2012,2012-08-18,"boxscore","BOS","","NYY","W",9,6,NA,"70-51",1,"up 5.0","Reed","Kahnle","Kimbrel","4:09","N","36784","+++",NA
"932",122,2012,2012-08-19,"boxscore","BOS","","NYY","L",3,4,NA,"70-52",1,"up 4.0","Sabathia","Sale","Betances","3:09","N","37274","-",NA
"933",123,2012,2012-08-20,"boxscore","BOS","","NYY","W",5,1,NA,"71-52",1,"up 5.0","Porcello","Gray","","3:36","D","36911","+",NA
"934",124,2012,2012-08-21,"boxscore","BOS","@","CLE","L-wo",4,5,NA,"71-53",1,"up 4.5","Allen","Workman","","3:39","N","21428","-",NA
"935",125,2012,2012-08-22,"boxscore","BOS","@","CLE","W",9,1,NA,"72-53",1,"up 4.5","Fister","Carrasco","","2:41","N","19563","+",NA
"936",126,2012,2012-08-23,"boxscore","BOS","@","CLE","W",6,1,NA,"73-53",1,"up 4.5","Pomeranz","Kluber","","3:11","N","25346","++",NA
"937",127,2012,2012-08-24,"boxscore","BOS","@","CLE","L",6,13,NA,"73-54",1,"up 4.5","Bauer","Sale","","3:28","N","21643","-",NA
"938",128,2012,2012-08-25,"boxscore","BOS","","BAL","L",3,16,NA,"73-55",1,"up 4.5","Hellickson","Porcello","","3:37","N","37191","--",NA
"939",129,2012,2012-08-26,"boxscore","BOS","","BAL","L",0,7,NA,"73-56",1,"up 3.5","Gausman","Rodriguez","","2:58","D","36655","---",NA
"940",130,2012,2012-08-27,"boxscore","BOS","","BAL","L",1,2,NA,"73-57",1,"up 2.5","Miley","Fister","Brach","3:22","D","36625","----",NA
"941",131,2012,2012-08-28,"boxscore","BOS","@","TOR","W",6,5,NA,"74-57",1,"up 3.5","Pomeranz","Barnes","Kimbrel","3:23","N","35630","+",NA
"942",132,2012,2012-08-29,"boxscore","BOS","@","TOR","W",3,0,NA,"75-57",1,"up 4.0","Sale","Anderson","Kimbrel","2:44","N","34674","++",NA
"943",133,2012,2012-08-30,"boxscore","BOS","@","TOR","W",7,1,NA,"76-57",1,"up 5.5","Porcello","Koehler","","2:58","N","37693","+++",NA
"944",134,2012,2012-08-31,"boxscore","BOS","@","NYY","L",2,6,NA,"76-58",1,"up 4.5","Sabathia","Rodriguez","","3:44","N","43309","-",NA
"945",135,2012,2012-09-01,"boxscore","BOS","@","NYY","W",4,1,NA,"77-58",1,"up 5.5","Fister","Gray","Kimbrel","2:44","N","42332","+",NA
"946",136,2012,2012-09-02,"boxscore","BOS","@","NYY","L",1,5,NA,"77-59",1,"up 4.5","Tanaka","Pomeranz","","2:58","D","46536","-",NA
"947",137,2012,2012-09-03,"boxscore","BOS","@","NYY","L",2,9,NA,"77-60",1,"up 3.5","Severino","Sale","","3:46","N","46717","--",NA
"948",138,2012,2012-09-04,"boxscore","BOS","","TOR","L",4,10,NA,"77-61",1,"up 2.5","Happ","Porcello","","3:25","N","34311","---",NA
"949",139,2012,2012-09-05,"boxscore","BOS","","TOR","W-wo",3,2,19,"78-61",1,"up 3.5","Velazquez","Rowley","","6:00","N","33009","+",NA
"950",140,2012,2012-09-06,"boxscore","BOS","","TOR","W",6,1,NA,"79-61",1,"up 4.0","Fister","Biagini","","2:57","N","33190","++",NA
"951",141,2012,2012-09-08,"boxscore","BOS","","TBR","W",9,3,NA,"80-61",1,"up 4.5","Pomeranz","Archer","","3:14","N","34781","+++",NA
"952",142,2012,2012-09-09,"boxscore","BOS","","TBR","W",9,0,NA,"81-61",1,"up 4.5","Sale","Andriese","","3:05","N","36734","++++",NA
"953",143,2012,2012-09-10,"boxscore","BOS","","TBR","L",1,4,NA,"81-62",1,"up 3.5","Cobb","Porcello","Colome","3:22","D","35859","-",NA
"954",144,2012,2012-09-12,"boxscore","BOS","","OAK","W",11,1,NA,"82-62",1,"up 4.0","Rodriguez","Manaea","","3:06","N","34355","+",NA
"955",145,2012,2012-09-13,"boxscore","BOS","","OAK","L",3,7,NA,"82-63",1,"up 3.0","Cotton","Fister","","3:07","N","36366","-",NA
"956",146,2012,2012-09-14,"boxscore","BOS","","OAK","W",6,2,NA,"83-63",1,"up 3.0","Pomeranz","Gossett","","3:19","D","35470","+",NA
"957",147,2012,2012-09-15,"boxscore","BOS","@","TBR","W",13,6,15,"84-63",1,"up 3.0","Workman","Pruitt","","6:05","N","16006","++",NA
"958",148,2012,2012-09-16,"boxscore","BOS","@","TBR","W",3,1,NA,"85-63",1,"up 3.0","Porcello","Cobb","Kimbrel","2:44","N","14942","+++",NA
"959",149,2012,2012-09-17,"boxscore","BOS","@","TBR","L",2,3,NA,"85-64",1,"up 3.0","Odorizzi","Rodriguez","Colome","2:37","D","14936","-",NA
"960",150,2012,2012-09-18,"boxscore","BOS","@","BAL","W",10,8,11,"86-64",1,"up 3.0","Barnes","Castro","Smith","4:24","N","16716","+",NA
"961",151,2012,2012-09-19,"boxscore","BOS","@","BAL","W",1,0,11,"87-64",1,"up 3.0","Kelly","Brach","Barnes","3:27","N","21449","++",NA
"962",152,2012,2012-09-20,"boxscore","BOS","@","BAL","W",9,0,NA,"88-64",1,"up 3.0","Sale","Miley","","3:11","N","16906","+++",NA
"963",153,2012,2012-09-22,"boxscore","BOS","@","CIN","W",5,4,NA,"89-64",1,"up 4.0","Price","Romano","Kimbrel","2:45","N","23463","++++",NA
"964",154,2012,2012-09-23,"boxscore","BOS","@","CIN","W",5,0,NA,"90-64",1,"up 4.0","Rodriguez","Stephenson","","2:51","D","36076","+++++",NA
"965",155,2012,2012-09-24,"boxscore","BOS","@","CIN","W",5,4,NA,"91-64",1,"up 5.0","Scott","Iglesias","Kimbrel","3:11","D","25545","++++++",NA
"966",156,2012,2012-09-25,"boxscore","BOS","","TOR","L",4,6,NA,"91-65",1,"up 4.0","Anderson","Pomeranz","Osuna","2:57","N","33940","-",NA
"967",157,2012,2012-09-26,"boxscore","BOS","","TOR","L",4,9,NA,"91-66",1,"up 3.0","Happ","Sale","","3:04","N","33999","--",NA
"968",158,2012,2012-09-27,"boxscore","BOS","","TOR","W",10,7,NA,"92-66",1,"up 3.0","Porcello","Estrada","","2:57","N","34445","+",NA
"969",159,2012,2012-09-28,"boxscore","BOS","","HOU","L",2,12,NA,"92-67",1,"up 3.0","Peacock","Rodriguez","","3:31","N","34222","-",NA
"970",160,2012,2012-09-29,"boxscore","BOS","","HOU","L",2,3,NA,"92-68",1,"up 2.0","Morton","Fister","Giles","2:47","N","36623","--",NA
"971",161,2012,2012-09-30,"boxscore","BOS","","HOU","W",6,3,NA,"93-68",1,"up 2.0","Pomeranz","McCullers","","3:19","D","35722","+",NA
"972",162,2012,2012-10-01,"boxscore","BOS","","HOU","L",3,4,NA,"93-69",1,"up 2.0","McHugh","Abad","Clippard","3:09","D","34517","-",NA
